mcc,description,classification
0742,Veterinary Services,Approved
0763,Agricultural Co-operatives,Approved
0780,"Horticultural Services, Landscaping Services",Approved
1520,General Contractors-Residential and Commercial,Restricted
1711,"Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation",Restricted
1731,Electrical Contractors,Restricted
1740,"Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors",Restricted
1750,Carpentry Contractors,Restricted
1761,"Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors",Restricted
1771,Contractors – Concrete Work,Restricted
1799,"Contractors – Special Trade, Not Elsewhere Classified",Restricted
2741,Miscellaneous Publishing and Printing,Restricted
2791,"Typesetting, Plate Making, & Related Services",Approved
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",Restricted
3000,UNITED AIRLINES,Pre-Approval
3001,AMERICAN AIRLINES,Pre-Approval
3002,PAN AMERICAN,Pre-Approval
3003,Airlines,Pre-Approval
3004,TRANS WORLD AIRLINES,Pre-Approval
3005,BRITISH AIRWAYS,Pre-Approval
3006,JAPAN AIRLINES,Pre-Approval
3007,AIR FRANCE,Pre-Approval
3008,LUFTHANSA,Pre-Approval
3009,AIR CANADA,Pre-Approval
3010,KLM (ROYAL DUTCH AIRLINES),Pre-Approval
3011,AEORFLOT,Pre-Approval
3012,QANTAS,Pre-Approval
3013,ALITALIA,Pre-Approval
3014,SAUDIA ARABIAN AIRLINES,Pre-Approval
3015,SWISSAIR,Pre-Approval
3016,SAS,Pre-Approval
3017,SOUTH AFRICAN AIRWAYS,Pre-Approval
3018,VARIG (BRAZIL),Pre-Approval
3019,Airlines,Pre-Approval
3020,AIR-INDIA,Pre-Approval
3021,AIR ALGERIE,Pre-Approval
3022,PHILIPPINE AIRLINES,Pre-Approval
3023,MEXICANA,Pre-Approval
3024,PAKISTAN INTERNATIONAL,Pre-Approval
3025,AIR NEW ZEALAND,Pre-Approval
3026,Airlines,Pre-Approval
3027,UTA/INTERAIR,Pre-Approval
3028,AIR MALTA,Pre-Approval
3029,SABENA,Pre-Approval
3030,AEROLINEAS ARGENTINAS,Pre-Approval
3031,OLYMPIC AIRWAYS,Pre-Approval
3032,EL AL,Pre-Approval
3033,ANSETT AIRLINES,Pre-Approval
3034,AUSTRAINLIAN AIRLINES,Pre-Approval
3035,TAP (PORTUGAL),Pre-Approval
3036,VASP (BRAZIL),Pre-Approval
3037,EGYPTAIR,Pre-Approval
3038,KUWAIT AIRLINES,Pre-Approval
3039,AVIANCA,Pre-Approval
3040,GULF AIR (BAHRAIN),Pre-Approval
3041,BALKAN-BULGARIAN AIRLINES,Pre-Approval
3042,FINNAIR,Pre-Approval
3043,AER LINGUS,Pre-Approval
3044,AIR LANKA,Pre-Approval
3045,NIGERIA AIRWAYS,Pre-Approval
3046,CRUZEIRO DO SUL (BRAZIJ),Pre-Approval
3047,THY (TURKEY),Pre-Approval
3048,ROYAL AIR MAROC,Pre-Approval
3049,TUNIS AIR,Pre-Approval
3050,ICELANDAIR,Pre-Approval
3051,AUSTRIAN AIRLINES,Pre-Approval
3052,LANCHILE,Pre-Approval
3053,AVIACO (SPAIN),Pre-Approval
3054,LADECO (CHILE),Pre-Approval
3055,LAB (BOLIVIA),Pre-Approval
3056,QUEBECAIRE,Pre-Approval
3057,EASTWEST AIRLINES (AUSTRALIA),Pre-Approval
3058,DELTA,Pre-Approval
3059,Airlines,Pre-Approval
3060,NORTHWEST,Pre-Approval
3061,CONTINENTAL,Pre-Approval
3062,WESTERN,Pre-Approval
3063,US AIR,Pre-Approval
3064,Airlines,Pre-Approval
3065,AIRINTER,Pre-Approval
3066,SOUTHWEST,Pre-Approval
3067,Airlines,Pre-Approval
3068,Airlines,Pre-Approval
3069,SUN COUNTRY AIRLINES,Pre-Approval
3070,Airlines,Pre-Approval
3071,AIR BRITISH COLUBIA,Pre-Approval
3072,Airlines,Pre-Approval
3073,Airlines,Pre-Approval
3074,Airlines,Pre-Approval
3075,SINGAPORE AIRLINES,Pre-Approval
3076,AEROMEXICO,Pre-Approval
3077,THAI AIRWAYS,Pre-Approval
3078,CHINA AIRLINES,Pre-Approval
3079,Airlines,Pre-Approval
3080,Airlines,Pre-Approval
3081,NORDAIR,Pre-Approval
3082,KOREAN AIRLINES,Pre-Approval
3083,AIR AFRIGUE,Pre-Approval
3084,EVA AIRLINES,Pre-Approval
3085,"MIDWEST EXPRESS AIRLINES, INC.",Pre-Approval
3086,Airlines,Pre-Approval
3087,METRO AIRLINES,Pre-Approval
3088,CROATIA AIRLINES,Pre-Approval
3089,TRANSAERO,Pre-Approval
3090,Airlines,Pre-Approval
3091,Airlines,Pre-Approval
3092,Airlines,Pre-Approval
3093,Airlines,Pre-Approval
3094,ZAMBIA AIRWAYS,Pre-Approval
3095,Airlines,Pre-Approval
